age;tv;educ;children;religious;married
17;0;10;0;FALSE;0
28;0;10;3;FALSE;1
23;0;7;1;FALSE;0
19;0;3;0;FALSE;0
32;1;10;2;FALSE;1
29;0;7;3;FALSE;0
19;1;7;0;FALSE;0
24;0;7;1;FALSE;0
26;1;7;1;FALSE;0
25;0;0;1;FALSE;0
17;0;6;0;FALSE;0
36;0;7;1;FALSE;1
23;0;0;2;FALSE;1
22;0;0;0;FALSE;1
19;1;10;0;FALSE;0
36;0;5;1;FALSE;0
28;0;9;3;FALSE;1
18;0;7;0;TRUE;0
36;0;7;3;TRUE;1
16;0;6;0;TRUE;0
22;0;7;1;FALSE;0
25;0;11;1;TRUE;0
39;0;2;2;FALSE;1
28;0;3;2;FALSE;1
26;0;7;2;FALSE;1
22;0;9;0;FALSE;0
19;0;9;0;FALSE;0
44;0;4;7;FALSE;1
28;0;10;3;FALSE;1
26;0;7;2;FALSE;1
38;0;4;5;FALSE;1
18;0;10;0;FALSE;0
16;0;9;0;FALSE;0
26;0;7;1;FALSE;0
19;0;9;0;FALSE;0
18;0;12;0;FALSE;0
33;0;7;5;TRUE;1
23;0;6;1;TRUE;0
24;0;5;2;FALSE;0
21;0;10;1;TRUE;0
17;0;10;0;TRUE;0
26;0;7;3;FALSE;0
17;0;10;0;FALSE;0
17;0;9;0;FALSE;0
27;0;10;1;FALSE;0
42;0;10;2;TRUE;0
25;0;10;1;TRUE;0
28;0;12;1;TRUE;0
19;0;12;0;TRUE;0
24;0;7;1;FALSE;1
18;0;7;2;FALSE;1
24;0;5;3;FALSE;0
21;0;7;1;FALSE;1
27;0;2;1;FALSE;1
16;0;7;0;FALSE;0
34;0;0;7;TRUE;0
31;0;0;3;FALSE;1
41;0;0;1;FALSE;1
17;0;7;1;FALSE;1
28;0;7;2;FALSE;0
30;0;5;1;FALSE;1
22;0;7;0;FALSE;0
19;0;7;0;FALSE;0
27;0;6;4;FALSE;1
35;0;1;1;FALSE;1
17;0;6;1;FALSE;1
39;0;0;6;FALSE;1
16;0;9;0;FALSE;0
31;0;0;7;FALSE;0
40;0;7;7;FALSE;1
35;0;6;6;FALSE;1
30;0;7;4;FALSE;1
33;0;0;5;FALSE;1
27;0;4;1;FALSE;0
26;0;4;5;FALSE;1
31;0;3;4;FALSE;1
21;0;7;0;FALSE;1
27;0;4;4;FALSE;1
25;0;7;3;FALSE;1
19;0;7;0;FALSE;1
25;0;7;2;FALSE;1
20;0;7;1;FALSE;1
17;0;7;0;FALSE;0
28;0;7;2;FALSE;1
21;0;10;2;FALSE;1
20;0;7;1;FALSE;0
24;0;6;3;FALSE;1
27;0;5;4;FALSE;1
21;0;7;1;FALSE;0
18;0;3;0;FALSE;0
37;0;0;1;FALSE;1
15;0;7;0;FALSE;0
41;0;7;6;FALSE;1
19;0;10;0;FALSE;0
36;0;4;3;FALSE;1
32;0;3;4;FALSE;1
38;0;0;6;FALSE;1
41;0;0;3;FALSE;1
18;0;7;0;FALSE;1
24;0;7;0;FALSE;0
20;0;7;2;FALSE;1
39;0;3;4;FALSE;1
24;0;7;4;FALSE;0
27;0;7;2;FALSE;1
20;0;10;0;FALSE;0
47;0;2;5;FALSE;1
20;0;8;0;FALSE;0
36;0;0;6;FALSE;0
20;0;7;2;FALSE;0
18;0;6;1;FALSE;0
31;0;0;4;FALSE;1
27;0;7;1;FALSE;1
27;0;5;3;FALSE;0
16;0;6;0;FALSE;0
26;0;7;0;FALSE;1
31;0;4;7;FALSE;1
19;0;10;0;FALSE;0
18;0;7;0;FALSE;0
26;0;7;3;FALSE;1
19;0;4;1;FALSE;1
16;0;7;0;TRUE;0
24;0;7;2;FALSE;1
21;0;8;2;FALSE;1
42;0;0;8;FALSE;1
31;0;0;6;FALSE;0
17;0;6;1;FALSE;0
17;0;6;1;TRUE;0
25;0;3;4;FALSE;1
23;0;6;2;FALSE;1
35;0;0;5;FALSE;1
32;0;7;5;FALSE;1
46;0;6;4;FALSE;0
35;0;7;3;FALSE;1
19;0;7;0;FALSE;0
31;0;5;3;FALSE;1
46;0;0;7;FALSE;1
20;0;4;2;FALSE;1
18;0;7;0;FALSE;0
31;0;7;4;FALSE;1
34;0;0;4;FALSE;1
27;0;0;2;FALSE;1
24;0;2;3;FALSE;0
22;0;6;1;FALSE;1
36;0;7;7;TRUE;1
16;0;7;0;TRUE;0
41;0;7;6;FALSE;1
17;0;10;0;FALSE;0
28;0;0;2;FALSE;1
19;0;11;0;FALSE;0
24;0;10;0;FALSE;1
37;0;2;8;FALSE;1
18;1;8;0;FALSE;0
30;0;5;5;FALSE;1
20;0;10;1;FALSE;1
18;0;7;1;FALSE;0
30;0;0;9;FALSE;1
48;0;12;0;FALSE;1
20;0;4;0;FALSE;1
23;0;2;1;FALSE;1
25;1;7;3;FALSE;1
48;0;4;4;FALSE;1
16;0;9;0;FALSE;0
39;0;4;5;TRUE;1
30;0;7;0;FALSE;1
26;0;8;3;TRUE;1
32;0;3;4;FALSE;1
28;0;9;0;FALSE;0
23;0;7;3;FALSE;1
22;0;7;1;FALSE;0
21;0;6;1;FALSE;1
25;0;12;2;FALSE;1
19;0;3;1;FALSE;0
22;0;7;2;FALSE;0
18;0;6;0;TRUE;0
24;0;10;0;FALSE;0
18;0;9;0;FALSE;0
30;0;0;3;FALSE;0
28;0;7;3;FALSE;0
22;0;7;2;FALSE;0
37;0;0;8;FALSE;1
18;0;10;0;FALSE;0
32;0;6;0;FALSE;1
29;1;9;1;TRUE;0
47;0;4;5;FALSE;1
16;0;7;1;FALSE;0
20;0;7;1;FALSE;1
24;0;7;1;FALSE;0
31;0;0;4;FALSE;1
19;0;10;2;FALSE;0
34;0;0;8;FALSE;1
27;0;0;2;FALSE;0
29;0;0;4;FALSE;1
20;0;10;1;FALSE;0
30;0;4;2;FALSE;1
26;0;5;0;FALSE;1
16;0;7;0;FALSE;0
25;0;7;3;FALSE;0
30;0;5;6;FALSE;1
22;0;0;1;FALSE;1
36;0;1;5;FALSE;1
18;0;7;0;FALSE;1
44;0;0;8;FALSE;1
17;0;7;1;FALSE;0
34;0;0;0;FALSE;0
18;0;11;0;FALSE;0
32;0;7;5;FALSE;1
30;1;12;1;FALSE;0
18;1;11;0;FALSE;0
30;0;10;2;TRUE;1
48;0;7;9;TRUE;1
19;0;10;0;TRUE;0
15;0;7;0;TRUE;0
30;0;8;2;TRUE;0
20;1;8;0;FALSE;0
15;1;8;0;FALSE;0
29;0;10;8;FALSE;1
19;0;4;0;FALSE;1
21;0;7;2;FALSE;1
22;0;7;2;FALSE;1
36;0;0;6;FALSE;1
18;0;7;0;FALSE;0
16;0;8;0;FALSE;0
30;0;7;3;FALSE;1
35;0;7;2;FALSE;1
38;0;7;6;FALSE;1
21;0;10;0;FALSE;0
26;0;10;2;FALSE;0
42;0;6;8;FALSE;1
18;0;9;0;FALSE;0
17;0;8;0;FALSE;0
19;0;7;0;TRUE;0
36;0;7;5;FALSE;0
16;0;5;0;FALSE;0
24;0;7;1;FALSE;0
23;0;7;1;FALSE;0
40;0;6;4;FALSE;1
27;0;6;1;FALSE;0
41;0;6;6;FALSE;1
21;1;10;1;FALSE;0
16;1;7;0;FALSE;0
17;1;7;0;FALSE;0
40;0;7;7;TRUE;1
15;0;7;0;TRUE;0
17;0;10;0;FALSE;0
31;0;0;5;FALSE;1
43;0;0;2;TRUE;1
16;0;7;1;FALSE;0
27;0;0;4;FALSE;1
38;0;7;3;TRUE;0
17;0;7;0;TRUE;0
43;0;0;7;FALSE;1
27;0;10;2;FALSE;0
17;0;6;0;FALSE;0
18;0;4;0;FALSE;0
16;0;8;0;FALSE;0
32;0;7;3;FALSE;0
20;0;7;0;FALSE;1
29;0;7;1;FALSE;1
41;0;3;4;FALSE;1
41;0;1;7;FALSE;1
33;0;5;7;FALSE;1
41;0;5;5;TRUE;1
20;0;10;0;TRUE;0
29;0;5;6;FALSE;1
20;0;6;2;FALSE;0
17;0;7;0;FALSE;0
49;1;15;4;TRUE;1
36;1;13;2;FALSE;1
15;1;8;0;TRUE;0
19;0;12;1;TRUE;0
44;1;11;2;FALSE;1
36;1;10;6;FALSE;1
20;1;5;1;FALSE;0
26;0;7;4;FALSE;1
21;0;7;0;FALSE;0
33;1;7;4;FALSE;1
25;1;7;1;FALSE;0
25;0;7;1;FALSE;1
36;1;7;4;FALSE;1
22;0;10;1;FALSE;0
20;0;12;1;TRUE;1
29;0;3;1;FALSE;1
26;0;10;1;FALSE;0
39;0;7;2;FALSE;0
17;0;9;0;FALSE;0
15;0;9;0;FALSE;0
21;0;2;0;FALSE;0
20;0;10;1;FALSE;0
26;0;2;2;FALSE;1
18;0;7;1;FALSE;0
20;0;7;0;FALSE;0
27;0;7;3;FALSE;0
44;1;3;4;FALSE;0
22;0;7;0;FALSE;0
30;0;8;4;FALSE;0
17;0;9;0;FALSE;0
22;1;6;1;FALSE;0
26;0;10;1;FALSE;0
18;1;7;0;FALSE;0
16;0;7;0;FALSE;0
49;0;3;1;FALSE;1
25;0;7;4;FALSE;0
45;0;0;8;FALSE;1
17;0;10;0;FALSE;0
24;0;10;1;FALSE;1
38;0;7;5;FALSE;0
15;0;6;0;FALSE;0
20;0;0;1;FALSE;0
46;0;0;7;FALSE;1
23;0;7;2;FALSE;0
22;0;7;0;FALSE;0
48;0;0;7;FALSE;1
18;0;7;0;FALSE;0
21;0;6;1;FALSE;0
18;0;7;0;FALSE;0
38;0;7;3;TRUE;1
15;0;9;1;FALSE;0
18;0;6;0;FALSE;0
24;0;10;1;TRUE;0
20;0;7;0;FALSE;0
19;1;6;1;FALSE;1
16;0;7;0;FALSE;0
35;0;3;6;FALSE;1
22;0;5;1;FALSE;0
19;0;2;1;FALSE;0
36;0;0;1;FALSE;1
32;0;7;0;FALSE;1
42;0;3;6;FALSE;1
36;0;5;5;FALSE;1
19;0;12;0;FALSE;0
18;0;7;1;FALSE;1
15;0;6;1;FALSE;0
31;0;4;5;FALSE;1
20;0;8;0;FALSE;0
44;0;8;7;TRUE;1
31;0;10;4;FALSE;1
17;0;6;0;FALSE;0
32;0;3;5;FALSE;1
25;0;6;1;FALSE;0
22;0;6;0;FALSE;1
15;0;5;0;FALSE;0
21;0;8;2;FALSE;1
21;0;8;0;FALSE;0
46;0;1;8;FALSE;1
16;0;4;0;FALSE;0
15;0;5;0;FALSE;0
23;0;4;2;FALSE;1
15;0;7;0;FALSE;0
26;0;3;4;FALSE;1
29;0;7;3;FALSE;1
26;0;10;1;FALSE;1
28;0;7;2;FALSE;1
30;0;12;3;TRUE;1
17;0;7;0;TRUE;0
18;0;8;1;TRUE;1
27;0;10;3;FALSE;0
27;0;10;2;FALSE;0
25;0;7;3;FALSE;1
20;0;7;1;FALSE;1
19;0;8;1;FALSE;0
17;0;10;0;FALSE;0
46;0;4;6;FALSE;1
17;0;10;2;FALSE;0
34;0;5;4;FALSE;1
28;0;0;5;FALSE;1
19;0;5;2;FALSE;1
31;0;10;4;FALSE;1
24;0;12;1;FALSE;1
16;0;8;0;FALSE;0
16;0;8;1;FALSE;0
17;0;0;1;FALSE;0
31;0;12;1;FALSE;1
18;0;8;1;FALSE;0
18;0;10;0;TRUE;0
32;0;5;3;FALSE;1
20;0;10;1;TRUE;0
24;0;10;3;FALSE;1
24;0;6;2;FALSE;1
22;0;0;2;FALSE;1
36;0;4;2;FALSE;1
34;0;0;0;FALSE;0
35;0;0;4;FALSE;1
45;0;5;3;FALSE;1
28;0;0;5;FALSE;1
33;0;0;4;FALSE;1
19;0;6;1;TRUE;0
17;0;7;0;FALSE;0
22;0;7;2;FALSE;1
31;0;1;4;FALSE;1
30;0;4;4;FALSE;1
40;0;6;2;FALSE;0
30;0;5;3;FALSE;1
23;0;7;2;FALSE;1
23;0;8;3;FALSE;1
34;0;8;1;FALSE;1
29;0;0;4;FALSE;0
28;0;7;2;FALSE;1
33;0;0;4;FALSE;1
27;0;10;3;FALSE;1
27;0;9;3;FALSE;1
17;0;11;0;FALSE;0
38;0;7;6;FALSE;1
47;0;6;8;FALSE;1
17;0;9;1;FALSE;0
27;0;10;3;TRUE;0
23;0;10;1;FALSE;1
20;0;8;1;FALSE;0
24;0;6;3;FALSE;1
30;0;10;2;FALSE;1
38;0;5;6;TRUE;1
36;0;5;5;FALSE;0
16;0;7;0;FALSE;0
27;0;6;2;FALSE;0
25;0;8;1;FALSE;0
16;0;8;0;FALSE;0
15;0;8;0;FALSE;0
19;0;10;0;FALSE;0
27;0;8;3;FALSE;0
21;0;7;1;FALSE;0
25;0;7;1;FALSE;0
18;0;7;1;FALSE;0
15;0;6;0;FALSE;0
41;0;3;7;FALSE;1
29;0;10;0;FALSE;0
18;0;8;1;FALSE;0
28;0;0;3;FALSE;1
17;0;7;0;FALSE;0
24;0;10;1;FALSE;1
40;0;0;5;FALSE;1
25;0;4;3;TRUE;1
23;0;6;2;FALSE;1
41;0;0;6;FALSE;1
48;0;0;4;FALSE;0
30;0;4;4;FALSE;1
49;0;3;9;FALSE;1
21;0;12;1;FALSE;0
15;0;7;0;FALSE;0
27;0;7;3;FALSE;1
17;0;7;0;FALSE;0
16;0;9;0;FALSE;0
20;0;7;1;FALSE;0
35;0;7;7;FALSE;1
21;0;6;0;FALSE;0
39;0;5;9;FALSE;1
42;1;12;2;TRUE;1
29;0;7;1;FALSE;0
23;0;10;1;FALSE;0
22;0;7;1;FALSE;0
19;0;7;0;FALSE;0
22;0;7;3;FALSE;0
16;0;8;0;TRUE;0
34;0;7;3;FALSE;1
18;0;7;0;FALSE;0
32;0;12;2;FALSE;1
17;0;8;0;TRUE;0
16;0;10;0;TRUE;0
22;0;7;3;FALSE;0
19;1;12;1;FALSE;0
22;0;13;0;FALSE;0
48;0;1;8;TRUE;0
27;0;10;1;TRUE;0
28;0;7;2;FALSE;1
22;0;9;0;FALSE;0
19;0;10;0;FALSE;0
32;0;7;2;FALSE;0
18;0;7;0;FALSE;0
31;0;7;4;FALSE;1
32;0;0;5;FALSE;1
22;0;7;2;TRUE;0
18;0;11;0;TRUE;0
18;0;6;0;FALSE;0
16;0;4;0;FALSE;0
40;0;1;7;FALSE;1
28;0;7;1;FALSE;0
19;0;7;0;FALSE;0
24;0;7;2;FALSE;1
27;0;6;4;FALSE;1
15;0;1;0;FALSE;0
45;0;2;6;FALSE;1
18;0;7;0;FALSE;0
18;0;9;1;FALSE;0
25;0;0;3;FALSE;1
25;0;7;3;FALSE;1
16;0;9;0;FALSE;0
18;0;0;0;FALSE;1
23;0;7;1;FALSE;1
26;0;7;1;FALSE;1
35;0;7;5;FALSE;1
18;0;6;0;FALSE;0
25;0;5;2;FALSE;1
45;0;0;7;FALSE;1
25;0;1;0;FALSE;0
16;0;4;0;FALSE;0
15;0;6;0;FALSE;0
35;0;6;3;FALSE;0
23;0;6;1;FALSE;1
32;0;0;5;FALSE;1
20;0;0;1;FALSE;1
35;0;0;5;FALSE;1
28;0;0;5;FALSE;0
20;0;10;1;FALSE;0
18;0;8;0;FALSE;0
26;0;7;2;FALSE;1
32;0;7;3;FALSE;1
27;1;16;1;TRUE;1
33;1;19;2;TRUE;1
34;0;6;4;FALSE;1
29;1;12;3;FALSE;1
26;0;3;2;TRUE;1
18;0;7;0;FALSE;0
26;0;7;2;FALSE;1
24;0;8;2;FALSE;0
41;0;3;2;FALSE;1
27;0;5;3;FALSE;0
24;0;3;3;FALSE;0
26;0;7;2;FALSE;1
35;0;0;7;FALSE;1
26;0;10;3;TRUE;1
17;0;9;0;FALSE;0
26;1;10;1;FALSE;1
24;1;10;1;FALSE;1
21;0;12;2;FALSE;1
22;0;6;1;FALSE;0
34;0;7;4;TRUE;1
27;0;7;1;FALSE;1
24;0;9;3;FALSE;1
32;0;10;3;TRUE;1
20;0;10;0;FALSE;0
23;0;8;1;FALSE;1
24;0;8;3;TRUE;1
26;0;7;0;FALSE;1
26;0;10;3;FALSE;1
31;0;7;5;FALSE;1
23;0;10;1;FALSE;1
25;0;10;1;FALSE;1
24;0;10;0;FALSE;1
24;0;10;2;TRUE;0
30;0;7;4;TRUE;1
23;0;6;1;FALSE;0
29;0;7;3;FALSE;1
18;1;10;0;FALSE;0
18;1;10;0;FALSE;0
37;0;7;2;FALSE;1
25;1;12;1;TRUE;1
40;1;14;6;TRUE;1
16;1;10;0;FALSE;0
31;1;10;1;FALSE;0
25;0;10;1;TRUE;0
27;0;15;2;FALSE;0
45;0;9;7;FALSE;0
28;0;10;2;FALSE;0
36;1;7;6;FALSE;1
19;1;5;0;FALSE;0
43;1;14;3;TRUE;1
18;1;7;0;FALSE;0
34;0;7;2;FALSE;1
38;0;15;3;TRUE;0
27;0;2;2;FALSE;0
34;0;7;3;FALSE;1
22;0;12;1;FALSE;1
24;1;12;1;FALSE;1
20;1;7;1;FALSE;0
16;1;9;0;FALSE;0
25;0;7;2;FALSE;1
37;0;7;2;FALSE;0
28;0;7;1;FALSE;1
17;0;9;0;TRUE;0
32;0;10;1;FALSE;0
26;0;9;2;FALSE;0
20;0;0;2;FALSE;1
35;0;10;2;FALSE;0
20;1;12;0;FALSE;0
26;0;10;1;FALSE;0
34;0;7;5;FALSE;0
24;0;7;1;FALSE;0
39;1;7;7;FALSE;1
19;1;12;1;FALSE;0
26;0;0;3;FALSE;1
24;0;0;3;FALSE;0
21;0;7;3;FALSE;1
26;0;7;1;FALSE;0
23;0;13;1;TRUE;0
21;0;10;2;FALSE;0
22;0;14;1;FALSE;0
22;0;14;0;FALSE;0
19;0;10;0;FALSE;0
15;1;7;0;TRUE;0
26;1;6;1;FALSE;0
15;1;3;0;FALSE;0
29;1;18;1;FALSE;1
42;1;10;3;FALSE;1
28;0;12;1;TRUE;0
20;0;7;1;TRUE;0
23;0;12;1;FALSE;0
23;0;12;1;TRUE;0
27;0;10;1;TRUE;0
19;0;9;0;FALSE;0
25;0;10;0;TRUE;0
24;1;12;0;FALSE;0
24;0;13;1;FALSE;0
16;0;9;0;FALSE;0
28;0;14;2;FALSE;1
19;0;7;0;FALSE;0
25;0;12;2;FALSE;1
15;0;9;0;FALSE;0
20;0;7;0;FALSE;0
21;0;12;1;FALSE;1
16;0;7;0;FALSE;0
38;0;5;4;FALSE;1
17;0;11;0;FALSE;0
20;0;10;0;FALSE;0
24;0;7;3;FALSE;1
32;0;4;4;FALSE;1
17;0;7;0;FALSE;0
26;0;3;0;FALSE;1
40;0;15;3;FALSE;1
26;0;4;1;TRUE;1
37;0;7;2;FALSE;0
37;1;10;3;TRUE;1
26;0;7;1;FALSE;0
44;0;7;4;FALSE;1
19;0;10;1;FALSE;0
15;0;8;0;FALSE;0
34;0;7;2;FALSE;0
48;0;4;6;FALSE;1
22;0;7;2;FALSE;1
31;0;10;2;FALSE;0
25;0;7;2;FALSE;1
20;0;9;0;FALSE;0
21;0;7;1;FALSE;1
48;0;6;6;TRUE;1
27;0;9;3;TRUE;0
38;0;4;4;TRUE;1
26;0;7;2;FALSE;0
40;0;3;2;FALSE;0
23;0;0;2;FALSE;1
28;0;0;1;TRUE;0
40;0;6;4;FALSE;0
16;0;1;0;FALSE;0
20;0;7;0;FALSE;0
28;0;4;4;FALSE;1
22;0;7;0;FALSE;1
41;1;0;8;FALSE;1
35;1;0;7;FALSE;1
25;0;7;1;FALSE;0
31;0;6;3;TRUE;1
26;0;2;4;TRUE;1
18;0;6;0;FALSE;0
35;0;2;2;TRUE;0
34;0;0;0;TRUE;0
30;0;0;8;FALSE;1
24;0;6;0;FALSE;0
18;0;0;0;TRUE;0
24;0;0;1;TRUE;0
17;0;7;0;FALSE;0
19;0;8;0;FALSE;0
27;0;7;1;TRUE;0
19;0;7;1;TRUE;0
29;0;7;3;FALSE;0
18;0;9;0;FALSE;0
17;0;9;0;FALSE;0
30;0;5;3;FALSE;1
28;1;7;4;TRUE;1
40;0;5;7;TRUE;1
17;0;9;0;TRUE;0
21;0;7;2;FALSE;1
40;0;10;5;FALSE;1
23;0;10;2;FALSE;1
20;0;10;0;FALSE;0
39;0;7;5;TRUE;1
37;0;10;4;FALSE;1
45;1;0;6;FALSE;1
35;0;6;4;FALSE;0
30;0;0;4;FALSE;1
19;0;9;0;TRUE;0
15;1;8;0;FALSE;0
48;0;0;10;FALSE;1
20;0;7;1;FALSE;1
19;0;7;0;FALSE;1
21;0;10;0;FALSE;0
15;0;7;0;FALSE;0
27;0;10;1;FALSE;0
22;0;10;2;FALSE;1
36;0;1;5;FALSE;1
16;0;6;0;FALSE;0
40;0;4;6;FALSE;1
20;0;7;1;FALSE;0
23;0;7;1;TRUE;0
24;0;7;0;FALSE;0
46;0;6;7;FALSE;1
26;0;17;2;FALSE;0
17;0;10;2;FALSE;0
41;0;0;7;FALSE;1
28;0;7;4;FALSE;1
47;0;2;6;FALSE;1
22;0;7;1;FALSE;0
15;0;7;0;FALSE;0
25;0;0;2;FALSE;0
23;0;0;0;FALSE;0
19;0;7;1;FALSE;0
26;0;7;0;FALSE;1
22;0;7;3;FALSE;1
33;0;0;1;FALSE;1
37;0;0;3;FALSE;0
19;0;7;0;TRUE;0
27;0;7;2;FALSE;1
21;0;10;1;FALSE;0
25;0;0;1;TRUE;0
25;0;3;1;FALSE;1
23;0;6;3;FALSE;0
26;0;0;3;FALSE;1
17;0;9;0;FALSE;0
35;0;5;5;FALSE;1
33;0;0;5;FALSE;1
26;0;7;0;FALSE;0
47;0;0;1;FALSE;1
17;0;10;0;FALSE;0
27;0;0;1;FALSE;1
19;0;10;1;TRUE;0
16;0;9;0;TRUE;0
39;0;0;1;FALSE;0
15;0;8;0;FALSE;0
20;0;6;0;FALSE;0
29;0;10;1;FALSE;0
33;0;7;3;FALSE;1
26;0;10;3;FALSE;0
49;0;6;5;FALSE;1
22;0;10;1;FALSE;0
32;0;0;3;FALSE;1
17;0;7;0;FALSE;0
40;0;2;5;FALSE;0
18;0;9;0;FALSE;0
23;0;10;0;FALSE;1
30;0;6;0;FALSE;1
29;0;6;3;FALSE;1
30;1;7;4;FALSE;1
26;1;0;0;FALSE;0
21;0;10;0;FALSE;0
18;0;10;0;FALSE;0
17;0;10;0;FALSE;0
31;0;4;6;FALSE;1
30;0;10;4;FALSE;0
41;0;4;3;FALSE;1
15;0;3;0;FALSE;0
20;1;7;0;FALSE;0
36;0;0;4;FALSE;1
19;0;7;1;TRUE;0
47;0;10;4;TRUE;1
23;0;7;2;FALSE;1
27;0;0;2;FALSE;1
29;0;0;1;FALSE;0
23;0;1;0;FALSE;0
30;0;0;2;FALSE;1
22;0;10;1;FALSE;1
27;0;7;1;FALSE;1
19;0;0;2;TRUE;1
31;0;0;2;FALSE;1
33;0;3;4;FALSE;1
28;0;0;0;FALSE;1
20;0;9;2;FALSE;0
23;0;7;1;FALSE;1
31;0;10;4;FALSE;1
22;0;7;1;FALSE;0
19;1;12;0;FALSE;0
25;1;10;0;FALSE;1
26;0;7;1;FALSE;0
27;0;7;3;FALSE;0
38;0;10;5;FALSE;1
40;1;12;2;TRUE;1
33;0;6;3;FALSE;1
35;1;11;6;FALSE;1
19;1;11;1;FALSE;0
22;1;12;1;TRUE;1
33;1;10;3;FALSE;1
31;1;12;3;FALSE;1
43;1;9;2;FALSE;1
48;1;8;4;FALSE;1
34;1;12;2;FALSE;1
21;0;16;1;FALSE;0
23;0;12;0;FALSE;0
24;0;10;1;FALSE;0
25;0;12;1;FALSE;0
23;0;10;2;FALSE;0
28;0;15;2;FALSE;1
19;0;9;0;FALSE;0
28;0;7;5;FALSE;1
31;0;8;4;FALSE;1
38;0;0;7;FALSE;1
17;0;10;1;FALSE;0
22;1;7;2;FALSE;1
38;0;6;4;FALSE;1
21;0;7;0;TRUE;0
38;1;10;7;FALSE;1
16;1;7;0;FALSE;0
18;0;6;0;FALSE;0
33;0;2;3;FALSE;1
40;0;0;6;FALSE;1
15;0;6;0;FALSE;0
34;0;7;5;FALSE;1
39;0;0;4;FALSE;1
26;0;10;1;FALSE;0
39;0;7;4;FALSE;1
23;0;8;2;FALSE;1
16;1;7;0;FALSE;0
39;1;8;6;FALSE;1
38;0;6;8;FALSE;1
16;0;9;0;TRUE;0
26;1;10;2;FALSE;1
35;0;9;4;FALSE;1
28;0;5;3;FALSE;1
24;0;10;1;FALSE;0
30;0;10;2;FALSE;0
28;0;3;3;TRUE;1
35;0;4;4;TRUE;1
16;0;8;0;TRUE;0
32;0;4;5;FALSE;1
19;0;7;1;TRUE;1
17;0;6;0;FALSE;0
30;0;9;2;TRUE;0
28;0;5;1;FALSE;0
18;0;7;0;FALSE;0
24;0;7;1;FALSE;0
28;0;0;1;FALSE;1
46;0;4;9;FALSE;1
22;0;10;1;FALSE;0
16;0;7;0;FALSE;0
34;0;5;2;FALSE;1
41;0;2;7;FALSE;1
35;0;0;3;FALSE;1
36;0;5;5;FALSE;1
17;0;7;1;FALSE;0
21;0;7;0;FALSE;0
37;0;4;7;FALSE;1
24;0;0;0;FALSE;1
33;0;3;3;FALSE;1
28;0;7;0;FALSE;1
18;0;10;0;FALSE;0
25;0;7;1;FALSE;1
26;0;7;2;FALSE;1
32;0;3;6;FALSE;1
24;0;7;4;TRUE;1
33;0;6;4;FALSE;1
32;0;0;2;FALSE;1
37;0;8;1;FALSE;1
29;0;7;4;FALSE;1
30;0;6;3;FALSE;0
28;0;0;2;FALSE;0
27;0;6;1;FALSE;1
21;0;7;1;FALSE;1
32;0;5;3;FALSE;1
30;0;3;4;FALSE;1
26;0;3;2;FALSE;0
38;0;5;5;FALSE;1
32;0;7;3;FALSE;1
28;0;7;4;FALSE;1
24;0;10;0;FALSE;0
18;0;7;0;FALSE;0
17;0;9;0;FALSE;0
30;0;2;1;FALSE;1
25;0;7;2;FALSE;1
25;0;10;2;FALSE;0
37;0;7;6;FALSE;1
31;0;3;5;FALSE;1
20;0;1;1;FALSE;1
29;0;8;2;FALSE;0
22;0;12;1;FALSE;0
26;1;0;4;FALSE;1
36;0;0;5;FALSE;1
32;0;0;1;FALSE;1
23;0;9;1;FALSE;1
16;0;6;0;FALSE;0
26;0;10;2;FALSE;0
